Ad Buyer,One who purchases advertisements in a vehicle.  Typically a business.
Recency,"Recency describes how close to the time of purchase an ad occurs.  Higher recency ads occur closer to the time of purchase.  Because the awareness and persuasion effects of an ad exposure decay with time, an ad with higher recency has more influence on purchase than an ad with lower recency, given the same level of awareness and persuasion for both of the ads.  There is a tradeoff among recency, awareness, and persuasion (as well as reach and other factors influencing media effectiveness) among different media types, so the medium with the most recency is not necessarily the most persuasive."
Repeat,"When applied to the ""purchase funnel"", repeat is when a consumer makes a second or subsequent purchase of the advertised product or brand.  ""repeat"" also refers to the percentage of consumers that buy the brand/product two or more times."
Rotation,"When a campaign has multiple ads, the campaign show these ads in a sequence.  It might alternate among two (or more) ads, pick ads randomly, or show a series of one ad, then a series of another.  This is called ""rotation"".  Online, it is possible to show a different ad each time a web page is reloaded.  "
Sales Funnel,"sometimes called the ""sales pipeline"", this is a series of steps through which business seeks to drive its target audience.  The sales funnel usually comprises the steps of awareness, persuasion, trial, repeat, and advocacy."
Segment,"A group of consumers that share some characteristics, such as demographic, geographic,  psychographic, or position in the sales pipeline"
Simulation,The technique of representing the real world of customers by a computer program that creates a virtual world of customers.
Streaming Media,"Online video and/or audio ads.  These ads can appear as a display ad, or ""pre-roll"" in video content.  Online streaming video ads can also be used on TV."
Target Audience,"The specific people who ads in a campaign are intended to reach.  An audience might be defined by demographics, psychographics and/or geography."
Text Ad,"An online ad that is simply text, without any graphics or sound.  Text ads are typically provided in search engine results pages (also known as SERPs)"
Timing,"When an ad appears.  Timing can refer to time of day (see ""Daypart""), or time of week/month/year.  Timing can also refer to the pattern with which ads are used over time:  Continuous (without a break), flighted (with a break), or pulsed (continuous plus additional flighted)."
Trial,Trial means that a consumer has tried a product at least once.  It is typically a measure of the percentage of consumers in the target population that have tried the product (see sales funnel
Vehicle,"A specific instance within a medium.  For example, ""Time Magazine"" is a magazine vehicle.  ""The New York Times"" is a newspaper vehicle."
